sqft,bedrooms,bathrooms,price
1791,2.0,2.5,324709
2064,4.0,3.2,373959
609,1.0,1.0,136831
1846,2.0,1.9,340361
2250,3.0,3.0,383506
3035,4.0,2.9,431766
1637,4.0,1.9,273336
1434,2.0,1.5,251440
1649,3.0,1.8,301202
2641,4.0,3.2,435879
2230,3.0,2.6,403289
1629,2.0,1.6,231923
2359,3.0,3.5,402704
2068,3.0,2.8,310305
2678,4.0,3.6,465559
1509,3.0,2.7,285066
1771,3.0,1.9,319767
1726,3.0,3.0,295466
976,1.0,1.0,219051
2207,3.0,3.0,400917
2183,2.0,1.5,360517
2004,3.0,1.8,332792
1836,3.0,2.9,343591
1009,2.0,1.8,191037
1706,1.0,1.0,296055
1760,4.0,2.7,366849
1438,2.0,2.3,292974
1887,3.0,2.0,306212
2283,3.0,3.5,398976
3320,5.0,3.9,502911
2122,2.0,2.4,363774
2180,3.0,2.5,376899
1948,4.0,3.5,311001
657,1.0,1.0,119779
1981,3.0,2.5,334694
2042,3.0,2.6,342738
3724,6.0,4.6,569875
1865,3.0,2.9,342366
2211,3.0,2.4,374417
1976,4.0,3.1,351427
1182,2.0,1.2,203336
2800,4.0,2.2,470615
2526,4.0,3.3,466148
2554,4.0,4.6,431558
1363,3.0,2.7,254707
2982,5.0,4.2,510515
1019,1.0,1.0,183294
2411,4.0,3.4,408611
3533,4.0,4.1,573690
1307,2.0,1.1,188261
1604,2.0,2.4,320189
2070,3.0,3.0,360188
1648,3.0,2.8,295021
915,1.0,1.2,179913
2048,3.0,2.6,350020
1256,3.0,2.6,212686
2332,4.0,3.6,442355
1356,2.0,1.6,249002
3085,5.0,3.9,518070
1452,3.0,2.4,300795
1775,2.0,2.7,285818
2569,4.0,2.8,435772
1138,2.0,1.0,207916
2159,3.0,2.7,386676
2915,5.0,4.2,437019
875,1.0,1.0,172494
2129,3.0,2.8,348039
2182,3.0,2.6,377837
2547,4.0,4.2,449824
1134,1.0,1.0,188405
1076,1.0,1.0,181277
2365,4.0,3.3,402676
2208,3.0,1.9,339331
2175,3.0,2.6,387291
2243,2.0,2.9,360671
1524,2.0,1.8,197803
2163,2.0,2.2,342539
2205,4.0,2.7,353054
1500,3.0,2.1,238413
3306,4.0,3.5,489789
2332,5.0,3.8,418137
1166,2.0,2.3,266747
2460,3.0,3.1,414180
1318,1.0,1.0,212964
2551,5.0,4.1,456713
2811,3.0,3.2,438245
1426,1.0,1.7,232098
2674,4.0,4.3,425665
2289,5.0,3.4,361678
2575,5.0,3.6,432505
3328,5.0,3.7,537682
1828,3.0,2.4,319772
1472,3.0,2.6,271487
1377,2.0,2.2,234037
1429,2.0,1.7,273078
1946,3.0,2.4,303395
2239,3.0,2.8,395657
2194,3.0,2.3,339787
2579,4.0,4.5,426673
2009,2.0,1.2,284823
3017,4.0,3.7,475962
1815,2.0,2.9,342952
3904,5.0,4.6,626585
2438,4.0,3.3,438617
1400,3.0,2.2,281452
1250,2.0,1.6,207653
2338,2.0,2.8,371858
1844,2.0,1.0,279724
2500,4.0,4.2,465640
2331,3.0,2.0,347832
1949,3.0,2.4,359025
1407,2.0,1.5,275193
940,1.0,1.3,232093
1687,2.0,1.1,271451
2599,3.0,3.1,440946
2150,3.0,3.7,433425
1128,2.0,1.0,197917
2121,2.0,2.1,307371
2270,4.0,3.0,343366
1381,2.0,2.0,273574
2108,3.0,2.7,312234
2041,3.0,2.3,337182
1200,3.0,2.5,258923
2250,3.0,3.6,391884
2393,3.0,2.7,404142
2758,4.0,3.9,465334
2738,4.0,2.8,476091
1036,2.0,1.1,179668
1344,2.0,2.0,234298
2361,3.0,3.5,379946
2360,3.0,2.9,412713
2361,3.0,2.6,410974
4697,7.0,5.0,740910
2400,3.0,2.1,416742
2795,4.0,3.8,433536
2668,3.0,3.3,475417
2456,4.0,3.2,453198
1779,2.0,1.7,318308
2531,4.0,3.5,472298
1459,2.0,1.6,218867
1834,3.0,2.5,310996
1660,2.0,2.9,281647
2057,4.0,3.1,384114
3620,4.0,3.7,534578
693,1.0,1.0,172087
2480,4.0,3.8,459509
871,1.0,1.0,191912
1670,2.0,1.5,291451
2762,4.0,4.2,439175
2045,3.0,3.3,337828
1246,2.0,1.4,263510
1499,3.0,1.5,291398
2476,5.0,4.5,440111
1489,2.0,1.5,252201
2152,2.0,2.5,303537
2032,3.0,1.6,310257
1544,4.0,3.5,357051
3501,5.0,3.8,523680
2444,4.0,3.7,424386
582,2.0,1.4,177874
2131,3.0,2.2,324689
1537,3.0,2.2,289428
2597,5.0,4.4,477852
1445,2.0,1.8,261341
1920,3.0,2.9,410872
2353,3.0,3.7,359104
2606,3.0,2.1,438392
1160,1.0,1.9,215655
1766,2.0,2.0,321200
1668,2.0,1.4,293937
1543,2.0,1.2,247191
3236,5.0,4.2,534423
2283,2.0,2.6,324771
1117,2.0,1.6,234367
2643,4.0,4.2,456954
3486,4.0,3.1,553428
2723,4.0,3.5,477180
936,2.0,1.0,199563
1661,2.0,2.0,293027
2887,5.0,4.6,469594
1505,2.0,1.6,247950
2311,3.0,1.4,397749
2542,4.0,3.5,464978
1351,2.0,2.0,246185
1958,3.0,2.8,343750
500,1.0,1.4,112185
1283,1.0,1.0,253270
1823,3.0,2.9,344220
1127,1.0,1.6,260917
3143,4.0,2.8,470764
999,1.0,1.2,182818
1692,2.0,1.6,294022
2092,4.0,3.2,387544
3009,5.0,4.4,498475
995,2.0,1.4,180364
2814,3.0,2.6,464941
2007,3.0,2.6,364088
1313,3.0,1.8,230246
2323,3.0,2.2,413103
2139,4.0,3.6,411176
1580,2.0,1.3,274539
2049,3.0,3.0,357853
1730,2.0,2.1,312685
2079,3.0,1.8,323593
2463,3.0,2.4,399170
3110,5.0,4.8,467016
1134,2.0,1.2,238335
3493,5.0,4.2,520537
634,1.0,1.1,184810
1894,2.0,2.3,312597
2412,4.0,3.2,404527
2197,2.0,1.8,335510
1564,1.0,1.9,261292
1854,3.0,3.4,372781
1655,4.0,3.6,261593
1587,2.0,1.9,311217
2595,4.0,3.0,437817
2250,3.0,2.3,341414
1515,2.0,2.1,246113
2630,4.0,3.7,483876
2215,3.0,3.4,356975
2569,4.0,3.8,407047
2441,4.0,2.6,434522
1420,2.0,2.3,272428
1608,3.0,1.9,266297
2523,3.0,2.6,413388
2427,3.0,2.9,374427
1985,3.0,3.6,382965
2082,2.0,3.6,385590
2894,4.0,3.9,489424
1586,2.0,1.7,285750
2383,4.0,3.6,455186
1858,3.0,3.0,333008
1848,3.0,2.4,294968
2769,4.0,4.4,478334
2578,5.0,4.1,500686
2569,4.0,3.7,409366
2914,4.0,3.9,469424
2015,2.0,2.2,344575
2477,3.0,3.2,408336
1783,2.0,1.6,274580
2227,3.0,2.4,398076
1909,3.0,2.0,385069
2068,3.0,2.8,360651
2417,4.0,3.8,394991
1427,2.0,2.0,222545
3465,5.0,5.0,572210
1296,2.0,1.7,269491
1150,1.0,1.4,224687
2811,3.0,2.4,440021
2554,4.0,3.2,412168
2437,3.0,3.1,376322
2440,4.0,3.8,441250
1991,4.0,3.0,379816
1372,3.0,2.3,227587
2053,3.0,1.9,382914
1526,3.0,2.2,297870
2683,4.0,3.9,485700
1897,3.0,2.8,301694
1422,2.0,2.0,226513
1775,2.0,1.9,298079
2289,3.0,2.7,393656
1605,2.0,1.5,321556
1424,2.0,2.1,279785
2171,3.0,2.9,363203
2171,3.0,2.9,343718
1645,3.0,2.2,328567
1670,3.0,1.4,267115
2162,2.0,2.6,397404
986,1.0,1.0,181251
1015,2.0,1.2,241938
1497,1.0,1.5,272624
1851,3.0,2.3,320246
2218,2.0,2.6,350331
3033,3.0,3.3,469007
2600,4.0,3.8,450351
1888,3.0,1.9,325294
1987,2.0,2.6,320757
1298,1.0,1.2,224047
1987,3.0,2.4,343209
1798,3.0,2.6,267734
2226,2.0,1.2,358963
1421,2.0,2.0,236020
2364,3.0,2.2,355192
3073,5.0,3.6,459766
1924,3.0,1.8,281617
2281,3.0,3.3,353458
2483,4.0,3.1,399447
1719,2.0,2.7,353529
2157,3.0,2.4,348477
2009,2.0,1.1,324702
2068,3.0,2.1,357417
1459,2.0,2.4,273144
2017,3.0,2.5,344123
2349,4.0,3.1,371150
3016,3.0,3.1,509369
2671,3.0,3.1,476959
3507,6.0,5.0,536801
1463,2.0,2.5,245942
2611,3.0,2.7,412680
2128,4.0,2.6,344487
3533,5.0,4.2,576993
1434,3.0,2.5,257896
1412,2.0,1.3,305190
1580,2.0,1.4,302215
513,2.0,1.6,152107
1632,2.0,1.8,309111
1469,3.0,2.4,306680
2105,3.0,2.3,340134
2239,4.0,3.2,368702
3313,6.0,4.5,551552
2665,4.0,3.9,470177
1596,2.0,2.4,289817
1371,2.0,1.0,203108
2344,3.0,2.3,362851
1076,3.0,1.5,219251
3282,5.0,4.0,529951
2826,4.0,3.5,512387
1672,2.0,1.1,245140
801,1.0,1.0,178736
2948,4.0,3.1,510153
1920,3.0,2.7,393565
2866,4.0,3.6,459067
884,1.0,1.0,188354
1580,3.0,2.5,307897
2004,4.0,2.9,362128
2033,3.0,2.5,345475
1685,3.0,3.3,326694
2436,3.0,3.4,343813
1253,1.0,1.0,237372
1900,4.0,3.6,356395
2084,3.0,3.0,354543
2360,3.0,2.2,434784
2498,4.0,3.8,410502
1213,2.0,2.5,231453
926,2.0,1.0,238923
2894,5.0,3.7,460923
2233,3.0,3.2,366561
1476,3.0,2.5,277451
3086,4.0,3.9,520115
2081,3.0,2.8,362512
2826,5.0,4.3,448345
2047,3.0,2.0,330367
3443,5.0,4.9,546719
3229,5.0,4.9,534318
1826,2.0,1.8,317333
2680,3.0,2.9,440867
2452,3.0,2.0,347811
2958,3.0,3.2,493964
1325,3.0,2.6,270461
2480,3.0,2.8,439842
2741,4.0,4.1,471213
769,1.0,1.0,189799
1172,2.0,2.0,242270
573,1.0,1.0,172360
1811,3.0,2.5,334426
2502,3.0,2.7,404226
3052,4.0,3.7,549409
2052,3.0,2.4,371250
3140,4.0,3.6,516347
1034,2.0,2.0,182164
808,1.0,1.0,134708
1961,3.0,1.8,338252
2269,4.0,4.2,408300
1977,4.0,3.9,350701
553,1.0,1.0,139859
1938,2.0,2.3,365830
1087,2.0,1.4,230610
2469,3.0,2.9,376527
2257,3.0,2.8,375607
1342,2.0,1.6,226126
1640,3.0,2.1,286343
1259,2.0,1.4,223486
1956,3.0,2.1,321994
2669,5.0,3.7,423254
1310,2.0,1.7,240408
2353,5.0,3.6,401525
1629,3.0,2.8,229822
1445,1.0,1.9,305523
1925,3.0,2.3,359829
1275,2.0,1.8,231232
1612,3.0,2.7,300364
1161,2.0,1.9,198887
3375,5.0,4.4,590230
2025,2.0,2.4,385194
1510,2.0,2.0,275140
2150,3.0,2.0,381563
1921,2.0,2.4,329747
1845,3.0,3.0,298020
2430,4.0,3.0,399294
2530,4.0,3.4,429729
1629,2.0,2.2,276474
1597,3.0,2.3,287765
1807,3.0,3.1,325811
500,1.0,2.0,139978
939,1.0,1.0,184030
2957,4.0,2.9,445102
3151,4.0,3.8,487852
1826,3.0,2.9,295766
2404,3.0,2.6,418076
2218,3.0,3.4,328304
4155,5.0,4.0,665466
2784,4.0,3.9,497503
1910,3.0,2.3,323300
1331,2.0,2.6,191856
875,2.0,2.5,192026
2142,3.0,2.3,357086
1471,2.0,1.5,235202
1004,2.0,2.0,197650
1547,1.0,1.0,293943
1243,1.0,1.1,236973
3181,4.0,3.7,485006
2617,4.0,2.5,386118
1994,3.0,2.6,336355
3036,6.0,4.5,510979
2054,3.0,2.4,361704
1397,2.0,2.5,250269
3066,5.0,3.6,513930
2377,5.0,4.4,476447
1274,3.0,2.2,273659
1867,3.0,2.4,325609
1387,3.0,2.8,269469
1032,2.0,1.8,202528
2648,4.0,3.7,473715
3337,4.0,4.2,517108
1021,1.0,1.0,193651
2394,3.0,2.5,392569
1545,2.0,1.3,254401
1659,2.0,1.5,248770
1585,3.0,3.9,319113
1395,3.0,3.0,275900
2034,3.0,1.9,353382
1418,3.0,1.7,251260
2189,2.0,2.3,386839
1965,3.0,2.9,322661
1833,2.0,2.2,355129
1365,1.0,1.0,190074
1596,2.0,1.8,290020
2529,4.0,3.6,440539
2351,4.0,3.4,384988
1316,2.0,1.0,246495
2070,2.0,1.9,369132
2526,5.0,3.6,380896
831,2.0,1.6,197539
2380,4.0,4.8,362910
1536,2.0,2.0,250198
2399,3.0,2.6,433859
1466,2.0,2.2,253742
737,2.0,1.7,145443
861,2.0,1.8,185938
2034,4.0,3.5,419737
2182,3.0,3.7,334425
1367,1.0,1.0,207755
2447,4.0,3.6,456278
837,1.0,1.0,216875
1954,3.0,2.9,340664
1152,2.0,1.2,187698
1544,2.0,1.6,322842
2033,2.0,1.9,372643
1398,2.0,2.2,277099
1731,2.0,2.4,282187
2704,3.0,2.3,424903
1596,1.0,1.3,261132
2585,4.0,3.1,437669
1209,3.0,1.7,275780
2371,4.0,3.2,426889
3009,4.0,3.4,456957
500,1.0,2.0,176412
1442,2.0,2.0,270889
2404,3.0,2.1,404851
1858,3.0,2.3,361208
2260,4.0,3.8,370987
1577,3.0,3.5,304370
2061,3.0,1.8,329587
1891,3.0,1.6,280927
2817,3.0,3.9,467561
2178,3.0,2.9,432960
2236,3.0,2.3,323957
1712,3.0,2.8,312195
1659,3.0,1.1,302255
1697,2.0,1.9,295542
2276,4.0,3.5,394306
1705,2.0,2.3,265757
2203,3.0,2.2,370561
3453,4.0,3.8,523015
2610,2.0,1.8,346026
1772,3.0,2.6,347679
2841,5.0,3.7,499262
1714,2.0,1.7,293413
573,1.0,1.0,144524
1294,2.0,2.0,272179
690,1.0,1.3,162062
1754,2.0,1.8,320673
2013,3.0,2.6,339310
3174,4.0,2.9,530420
2229,3.0,2.5,379482
1847,2.0,1.9,315247
2581,4.0,4.7,416319
500,1.0,1.0,137174
2165,2.0,2.8,338593
2540,4.0,3.9,417596
965,1.0,1.1,166614
2801,4.0,4.4,444219
2237,3.0,2.9,430353
1709,3.0,2.7,344799
2443,3.0,2.8,448763
3589,5.0,5.0,550166
2127,3.0,3.2,369458
2174,4.0,3.0,346513
1678,3.0,1.8,279621
1405,2.0,1.7,232060
2581,3.0,2.4,443538
1401,2.0,1.7,244583
2050,2.0,2.6,369921
1666,1.0,1.0,284980
2335,4.0,3.3,459425
2234,4.0,3.3,352642
2726,2.0,2.7,457034
1643,2.0,1.0,303820
1811,3.0,2.2,293396
1315,3.0,2.4,285762
1689,2.0,2.5,307083
2264,3.0,2.5,370006
2530,4.0,2.5,394989
1354,3.0,2.7,250960
2609,3.0,2.5,468292
2949,4.0,3.0,471891
2289,3.0,2.4,397082
3314,4.0,3.6,503078
1458,2.0,1.5,239505
1129,3.0,1.1,249699
755,1.0,1.4,131648
3047,4.0,4.3,488887
2458,3.0,3.1,407017
1961,2.0,1.4,320915
2196,4.0,3.2,379440
1212,2.0,1.7,241754
3712,5.0,4.8,610365
2090,5.0,4.2,409621
2077,3.0,2.3,326144
2508,3.0,2.8,401461
2337,3.0,3.0,420274
2157,4.0,4.0,411172
1447,2.0,2.1,230479
2330,2.0,2.5,384390
3317,5.0,4.4,491434
2942,4.0,4.3,487789
3115,6.0,5.0,579272
1642,3.0,2.0,271361
1307,2.0,2.4,230815
1912,3.0,2.9,357335
2039,3.0,2.4,308911
2766,4.0,3.3,437693
815,1.0,1.1,183944
3071,4.0,3.9,481425
1889,2.0,2.1,312028
1701,3.0,2.6,327947
1292,2.0,2.6,262722
842,1.0,1.5,183662
2576,3.0,2.9,409468
2051,3.0,3.1,366610
1097,3.0,1.7,222950
1093,1.0,1.2,215059
1765,3.0,3.4,314171
3168,5.0,4.2,516034
1818,3.0,2.1,292645
948,2.0,1.3,194461
1828,2.0,1.4,281883
1809,3.0,2.1,288440
500,1.0,1.0,136467
1962,3.0,1.9,337558
1838,3.0,2.5,344173
2487,5.0,4.4,430503
3294,5.0,3.9,542314
2789,4.0,4.3,482001
1812,3.0,2.8,336133
1225,2.0,2.2,218810
3801,6.0,4.8,615496
2041,3.0,3.0,364078
2010,3.0,2.1,340550
1983,4.0,3.6,311012
2139,2.0,2.1,351851
1899,3.0,2.8,390787
1598,3.0,1.9,279611
1617,2.0,1.4,258662
1977,2.0,2.3,340182
1620,2.0,1.4,284962
1501,3.0,2.6,315139
2075,3.0,1.9,314293
1822,2.0,2.4,331666
3053,4.0,3.0,499096
500,1.0,1.1,127646
2764,4.0,3.8,467754
2872,4.0,3.2,490808
549,1.0,1.1,158843
1760,2.0,2.0,272639
1740,2.0,1.6,314503
1015,2.0,1.1,199352
1456,2.0,1.0,254485
1223,2.0,1.9,237342
3227,6.0,4.1,530635
2655,4.0,3.5,472390
2890,4.0,3.4,467518
2505,4.0,3.7,399032
1210,2.0,1.5,219321
1633,2.0,1.7,286808
2343,4.0,3.7,438238
1145,1.0,1.2,224819
2499,4.0,3.6,403828
1832,2.0,2.2,374342
1738,3.0,1.7,309534
2498,4.0,3.8,459205
2311,3.0,3.0,383525
1747,3.0,2.0,321013
2812,4.0,3.4,481170
1243,2.0,1.7,266046
2431,3.0,2.7,424573
2415,4.0,3.5,435625
1783,4.0,3.8,333721
2228,3.0,3.2,365502
1124,1.0,1.0,213222
2647,4.0,3.8,468546
1871,3.0,3.2,331300
1634,3.0,2.6,327921
2734,4.0,4.0,494432
1507,3.0,3.4,272727
1014,2.0,2.1,191966
910,2.0,1.7,192134
2424,3.0,3.3,412195
1104,2.0,1.7,205730
3228,6.0,4.9,578008
543,1.0,1.0,145720
3188,4.0,4.5,519489
2148,4.0,2.8,337428
1932,3.0,3.3,312581
1619,1.0,1.5,277252
2279,4.0,2.6,333413
1974,2.0,2.2,354555
2772,4.0,2.5,440724
2080,3.0,2.9,439472
2105,3.0,3.1,421523
1745,3.0,2.2,305320
1960,3.0,2.6,337758
2215,3.0,3.7,409145
803,1.0,1.0,208925
1056,2.0,1.1,165002
2520,4.0,4.1,388975
2120,2.0,3.0,340802
1871,3.0,2.6,344314
2013,3.0,3.1,365170
2243,4.0,4.0,425941
1622,3.0,2.1,263868
1455,3.0,2.1,215919
2137,3.0,3.3,391501
1315,2.0,2.6,234312
2286,3.0,3.0,333831
808,1.0,1.0,170610
2720,4.0,4.5,482278
2331,2.0,1.9,365447
2179,2.0,1.9,338860
2688,3.0,3.0,428562
3166,5.0,5.0,520635
2710,5.0,4.5,435506
711,1.0,1.1,138700
1104,1.0,1.3,219148
1563,2.0,1.8,283157
2018,4.0,3.5,370393
2362,3.0,1.5,350605
1492,2.0,1.6,259700
2131,4.0,3.4,324062
1471,2.0,1.2,261410
1572,2.0,2.0,314354
1015,2.0,1.5,168987
1354,1.0,2.0,229800
1054,2.0,2.4,229486
1317,1.0,1.0,259348
2738,3.0,2.8,424900
1335,2.0,1.7,229344
3843,6.0,4.9,568697
2345,3.0,2.8,391625
2129,4.0,2.9,423378
1399,3.0,1.8,270432
2490,4.0,3.7,424669
1597,3.0,2.8,307298
2085,3.0,2.2,350372
3792,5.0,5.0,584722
1933,2.0,1.7,338913
2804,4.0,3.6,467383
1508,2.0,2.2,273774
1976,4.0,3.2,333077
3240,5.0,4.5,565335
1561,2.0,1.6,289152
3269,5.0,4.2,518823
2495,4.0,3.3,446097
1606,3.0,2.1,279514
2443,3.0,2.7,379972
2681,4.0,2.7,417102
2435,3.0,2.5,351955
901,1.0,1.0,189890
1491,2.0,1.7,219542
1827,3.0,2.4,291297
1948,3.0,2.5,285858
2434,3.0,3.0,399985
2124,2.0,2.5,347169
1065,1.0,1.0,189664
2266,2.0,1.5,329872
2427,4.0,2.8,377583
2392,3.0,2.5,402632
2757,3.0,2.7,423422
2584,4.0,3.0,435958
2321,3.0,2.1,355640
1951,3.0,2.4,341433
837,2.0,1.6,218261
2301,2.0,2.4,385542
2145,3.0,2.4,349935
2190,3.0,2.5,373243
1106,2.0,1.2,207136
1243,2.0,1.7,235788
2737,3.0,2.5,424325
1972,3.0,2.9,341369
2477,3.0,1.9,399348
2020,4.0,3.0,335545
2021,3.0,2.8,324703
2657,5.0,4.2,424502
1639,2.0,3.2,261045
2067,3.0,2.8,325242
1676,1.0,1.0,275155
1696,1.0,1.2,253583
1784,2.0,1.0,304870
2155,3.0,2.6,364727
1665,3.0,2.0,248573
2879,3.0,3.4,476658
1374,2.0,1.5,269123
1869,2.0,1.9,288256
1692,3.0,2.2,313967
3013,5.0,5.0,490134
2138,4.0,3.1,378152
2722,4.0,4.4,429862
960,1.0,1.4,145185
2187,2.0,2.3,346462
2623,3.0,3.0,421636
2058,3.0,2.8,344570
2746,3.0,1.9,396700
1638,2.0,1.7,272950
2987,4.0,4.0,495118
3609,5.0,4.4,574785
1746,2.0,1.2,294484
1688,3.0,2.4,288625
3017,5.0,5.0,541377
3106,4.0,4.3,476880
1634,3.0,2.4,311069
1706,2.0,2.4,329052
1803,3.0,2.3,329953
1059,2.0,1.0,200003
1357,2.0,1.3,231226
1297,2.0,2.5,277554
1463,2.0,1.6,225131
1976,2.0,1.9,301633
2164,3.0,2.5,353735
3085,4.0,4.6,538383
1301,2.0,2.5,261632
2689,4.0,4.6,435682
1850,3.0,2.5,318267
1965,3.0,2.7,326887
2472,2.0,1.4,361740
1214,1.0,1.8,249764
2268,3.0,2.1,337029
2117,3.0,2.8,401802
2345,3.0,2.2,402472
2202,4.0,3.0,409562
3719,5.0,4.1,573872
1554,3.0,2.1,281881
1628,3.0,2.2,259967
1564,2.0,1.6,259740
1611,3.0,2.9,314481
1554,2.0,1.3,300461
2832,5.0,4.2,452598
2994,5.0,4.8,497785
1600,2.0,1.6,273475
1417,3.0,2.0,233187
2330,3.0,2.6,399583
1613,2.0,2.4,270314
2443,4.0,3.5,412282
2142,3.0,2.4,348547
939,2.0,1.8,180544
3083,5.0,3.7,504214
3257,4.0,4.0,515463
1571,3.0,2.6,284429
1729,1.0,1.1,260422
2200,4.0,2.9,388801
2234,4.0,2.9,426235
2461,3.0,3.1,410015
3407,5.0,5.0,583760
1876,2.0,1.6,275581
1441,2.0,2.0,266887
1034,1.0,1.0,166703
1488,3.0,2.1,240879
1977,4.0,3.2,339133
3256,5.0,3.8,556140
1638,2.0,1.4,303071
2157,3.0,2.3,366473
1989,2.0,2.1,291503
2832,4.0,3.4,457718
3769,6.0,4.0,605805
1628,3.0,1.4,290595
1657,2.0,1.6,237992
2731,4.0,3.7,431852
2477,4.0,2.0,401677
3293,5.0,4.1,547731
2409,3.0,2.5,338147
1748,3.0,3.2,318166
2413,3.0,2.6,398391
2776,4.0,3.7,480771
2574,4.0,3.5,450242
2355,3.0,1.7,391575
2747,4.0,3.9,438402
2819,4.0,3.6,415721
2968,4.0,3.8,473875
2454,3.0,4.7,449932
1883,3.0,1.5,352798
2103,4.0,4.1,401288
2845,4.0,3.4,474880
1428,2.0,1.9,269668
2258,4.0,3.3,378666
1725,2.0,1.7,290108
2020,4.0,2.9,400941
2895,4.0,3.7,450226
2134,3.0,1.9,393222
2033,3.0,3.0,345850
1048,1.0,1.0,228908
2522,3.0,2.2,367915
2452,3.0,2.6,414068
3514,5.0,5.0,553294
1785,4.0,2.8,294365
2153,4.0,3.4,386672
2175,3.0,2.3,387785
3104,5.0,4.6,496583
1933,2.0,2.3,288120
2195,3.0,3.6,378342
2426,3.0,2.7,395277
2131,3.0,3.0,379383
1687,2.0,1.9,315039
2136,3.0,3.3,368418
2752,3.0,2.5,480573
1281,2.0,2.1,250579
2093,2.0,1.9,331309
1510,2.0,1.8,228501
2837,5.0,4.2,474217
934,1.0,1.1,174843
1609,1.0,1.2,289458
2264,3.0,2.8,390848
3096,5.0,5.0,492020
1954,4.0,3.7,365183
1611,2.0,2.3,303752
3317,5.0,4.1,575418
986,1.0,1.0,210554
500,1.0,1.3,152621
2308,5.0,4.4,421263
1649,1.0,2.0,289535
1285,2.0,1.4,268254
2496,4.0,3.3,387783
2171,4.0,2.4,362543
1605,2.0,1.6,258503
1104,2.0,2.1,233133
2611,3.0,2.6,449242
2455,4.0,3.7,406093
1931,3.0,2.5,275912
3293,5.0,4.5,528812
1251,2.0,1.1,252150
932,2.0,1.6,210497
1516,2.0,1.0,270584
1968,3.0,2.5,333171
2170,3.0,1.9,325265
1831,2.0,2.5,328619
2246,4.0,3.7,375116
1124,1.0,1.3,263073
3011,4.0,4.4,510339
1942,2.0,1.5,302583
2782,5.0,5.0,468568
2240,2.0,2.6,363665
2320,5.0,3.8,407980
2399,4.0,3.9,444581
2313,3.0,2.2,382668
2450,3.0,2.4,378498
2930,4.0,3.3,520510
2138,3.0,2.4,360540
2496,4.0,2.9,435577
1937,3.0,3.2,329657
3008,4.0,3.5,494048
1527,2.0,2.0,280961
3261,5.0,4.0,482038
1972,3.0,1.7,381409
998,2.0,1.7,238481
2090,3.0,1.7,335231
1523,1.0,1.2,227635
2588,4.0,2.8,434903
1543,2.0,2.8,286947
1688,2.0,2.3,305012
677,1.0,1.0,156068
1683,3.0,3.1,325862
500,1.0,1.0,166183
891,1.0,1.2,193555
2532,4.0,3.5,401633
2550,3.0,3.0,450071
2298,2.0,2.8,416354
1323,2.0,2.1,328775
1967,3.0,2.7,314305
1997,3.0,1.8,341369
1189,2.0,1.2,171045
3052,5.0,4.2,520514
2614,4.0,3.5,423993
1845,2.0,1.4,352325
2019,3.0,3.8,342493
2146,4.0,4.0,345275
571,1.0,1.1,127913
1827,3.0,2.6,275050
1523,3.0,2.3,303091
1299,2.0,1.2,184637
1803,3.0,2.6,322299
3258,5.0,4.4,481860
2449,3.0,2.2,386223
1600,2.0,2.0,323105
2401,3.0,2.7,403513
